,com_1,com_2,com_3,com_4,com_5,hole_1,hole_2
30431,1,9,42,13,22,27,28
30432,12,50,28,16,45,26,29
30433,43,18,50,38,48,13,4
30434,7,28,30,34,21,38,26
30435,45,47,32,42,49,3,35
30436,27,42,21,52,10,46,7
30437,8,52,30,8,24,11,28
30438,12,38,21,20,37,31,36
30439,37,9,6,3,25,26,43
30440,30,24,40,19,45,11,19
30441,14,5,18,20,17,45,52
30442,31,15,22,9,16,19,7
30443,21,9,12,49,13,15,21
30444,36,33,29,47,26,45,46
30445,3,52,3,40,8,3,18
30446,14,20,20,47,23,20,48
30447,26,29,30,38,11,33,13
30448,29,18,34,24,1,22,28
30449,40,18,16,6,41,27,29
30450,34,5,19,36,18,39,34
30451,23,8,48,6,46,52,6
30452,17,19,33,9,4,36,44
30453,52,2,27,34,20,41,32
30454,27,45,52,8,15,12,1
30455,2,2,12,38,12,39,20
30456,18,47,34,47,3,22,15
30457,38,23,8,16,16,5,32
30458,10,34,4,8,21,20,13
30459,20,2,20,30,52,32,14
30460,10,40,37,32,51,18,7
30461,23,2,44,46,47,11,45
30462,46,51,37,38,23,13,38
30463,1,2,46,1,51,24,23
30464,22,8,18,3,11,6,26
30465,50,35,28,28,50,2,48
30466,29,17,29,25,15,39,11
30467,46,22,7,11,28,36,24
30468,4,29,23,31,23,34,7
30469,11,52,3,25,34,33,36
30470,11,13,7,39,12,49,24
30471,18,5,22,52,12,33,13
30472,9,10,18,33,38,5,29
30473,43,13,9,18,40,31,29
30474,16,40,51,2,39,22,24
30475,1,24,38,29,36,3,34
30476,26,21,48,23,48,27,52
30477,15,50,7,25,3,24,7
30478,3,44,39,27,15,28,28
30479,8,31,52,20,33,16,6
30480,48,48,28,18,34,14,5
30481,5,29,22,10,12,37,39
30482,35,2,42,48,38,36,23
30483,12,4,28,52,14,28,14
30484,10,43,44,8,34,25,24
30485,37,22,26,37,44,26,1
30486,31,3,27,40,10,2,23
30487,20,45,48,12,52,3,35
30488,29,28,7,14,27,5,42
30489,13,10,11,21,46,18,37
30490,51,11,37,8,37,49,31
30491,16,2,16,45,1,48,45
30492,31,2,22,24,34,47,33
30493,25,7,48,52,4,24,30
30494,32,22,9,44,52,48,22
30495,35,10,41,33,30,28,47
30496,48,47,23,4,41,23,16
30497,34,35,17,48,1,52,10
30498,29,7,20,26,21,30,20
30499,11,7,9,3,25,3,41
30500,29,28,41,7,44,8,46
30501,46,22,22,11,20,24,8
30502,51,24,41,41,18,24,17
30503,50,18,12,32,35,6,7
30504,43,13,44,6,27,51,36
30505,2,24,51,9,16,39,41
30506,47,18,24,2,8,24,47
30507,39,39,20,50,6,13,48
30508,27,28,29,40,9,43,47
30509,41,7,24,29,26,44,22
30510,18,49,52,2,39,30,32
30511,34,34,32,50,1,35,17
30512,51,17,5,20,24,28,32
30513,18,30,44,30,5,21,30
30514,13,41,42,49,39,36,25
30515,31,26,13,24,41,47,18
30516,33,3,2,3,18,28,9
30517,28,45,41,40,23,32,22
30518,48,41,26,11,38,12,15
30519,22,45,11,49,31,26,34
30520,2,52,26,30,41,47,42
30521,24,24,14,21,9,38,30
30522,5,39,7,34,4,26,38
30523,32,3,39,28,19,6,25
30524,26,43,26,9,52,8,46
30525,22,38,33,22,34,6,12
30526,12,36,22,44,5,44,42
30527,23,4,41,23,31,20,41
30528,33,8,37,21,5,17,26
30529,24,49,28,6,32,25,5
30530,41,20,15,38,21,27,35
30531,43,46,30,13,19,41,47
30532,6,47,32,5,30,26,24
30533,41,6,30,17,19,37,44
30534,45,20,16,16,48,5,19
30535,38,25,38,38,41,49,20
30536,46,52,7,31,37,3,41
30537,33,51,51,23,43,19,5
30538,8,19,44,51,52,48,3
30539,3,21,42,30,17,30,14
30540,32,4,42,37,28,47,45
30541,3,20,15,35,52,29,2
30542,14,23,15,14,7,24,40
30543,35,15,51,4,15,5,13
30544,22,31,27,22,4,25,17
30545,49,36,10,2,6,19,21
30546,18,35,35,4,7,19,35
30547,6,48,9,24,21,16,37
30548,3,34,16,52,32,8,48
30549,8,13,45,47,46,43,28
30550,42,4,24,18,7,44,4
30551,41,13,51,47,20,29,33
30552,46,16,34,28,45,41,37
30553,35,52,42,47,44,14,45
30554,33,35,7,29,14,24,16
30555,50,29,51,14,44,30,21
30556,28,6,30,39,36,45,8
30557,48,38,16,17,44,30,10
30558,13,12,5,30,12,43,15
30559,5,10,30,44,40,51,31
30560,3,12,3,35,49,42,24
30561,13,4,23,4,23,44,3
30562,7,4,50,48,27,6,18
30563,29,23,4,29,22,14,42
30564,36,5,9,2,30,52,43
30565,50,28,22,5,10,21,20
30566,40,33,44,28,15,21,47
30567,20,24,38,9,38,28,38
30568,25,36,11,36,35,13,34
30569,10,48,35,9,14,29,45
30570,22,31,35,35,40,32,11
30571,28,2,24,5,35,23,12
30572,52,26,21,29,38,50,24
30573,47,21,39,19,42,34,12
30574,21,5,4,19,39,40,19
30575,6,51,16,34,34,28,52
30576,4,20,10,44,1,31,39
30577,8,13,40,9,44,10,17
30578,11,17,45,43,28,49,20
30579,26,36,15,48,36,37,12
30580,26,51,51,51,34,52,46
30581,8,3,16,45,7,40,52
30582,42,33,26,8,7,31,31
30583,20,2,19,19,21,10,21
30584,4,23,44,7,8,2,9
30585,28,49,5,6,20,33,3
30586,37,44,43,51,23,23,11
30587,4,9,33,48,41,4,30
30588,25,26,2,1,4,43,44
30589,9,37,42,8,17,29,51
30590,14,1,8,3,8,8,51
30591,33,12,9,43,37,40,28
30592,31,42,30,5,17,23,35
30593,12,24,35,19,20,50,50
30594,17,45,14,45,22,6,3
30595,42,49,50,8,37,9,19
30596,52,26,31,42,9,32,36
30597,2,25,9,41,6,39,37
30598,18,24,29,44,20,6,42
30599,32,11,8,43,40,24,2
30600,18,21,29,50,39,37,13
30601,29,48,37,43,14,18,41
30602,39,24,21,38,9,29,43
30603,24,9,30,43,25,42,16
30604,2,6,50,51,12,46,9
30605,43,24,42,6,40,28,17
30606,45,3,11,48,52,31,20
30607,31,41,3,22,32,34,6
30608,45,34,45,18,4,22,5
30609,18,9,18,11,35,33,19
30610,8,4,9,40,26,43,33
30611,17,6,29,8,17,24,52
30612,17,29,22,36,13,22,50
30613,32,14,32,12,36,48,20
30614,8,46,42,24,36,44,9
30615,8,24,30,15,25,21,14
30616,31,5,45,3,27,1,21
30617,12,33,16,16,39,17,9
30618,45,29,13,34,30,41,20
30619,35,21,40,9,2,47,18
30620,11,35,1,9,2,8,48
30621,1,4,48,5,46,12,31
30622,36,24,10,23,33,14,19
30623,17,40,26,20,31,19,2
30624,43,49,12,51,37,28,20
30625,28,34,22,44,31,39,3
30626,19,14,30,6,16,18,26
30627,38,21,35,51,22,52,50
30628,15,22,46,32,19,30,6
30629,47,43,37,37,35,44,13
30630,49,30,22,11,39,35,1
30631,4,44,8,27,46,17,40
30632,6,28,14,44,22,39,41
30633,22,7,19,19,2,5,50
30634,27,36,24,35,8,49,52
30635,7,35,5,33,33,4,49
30636,5,40,38,21,1,33,31
30637,9,2,43,27,5,39,34
30638,26,6,18,23,18,47,24
30639,48,44,25,38,49,11,1
30640,14,31,29,20,48,19,8
30641,25,50,45,52,44,45,21
30642,26,19,34,43,29,22,25
30643,16,5,37,49,24,42,33
30644,26,49,50,47,8,14,24
30645,10,5,39,30,16,46,37
30646,14,36,3,32,12,11,15
30647,50,3,15,32,36,15,33
30648,24,18,20,16,4,19,30
30649,17,37,31,39,1,9,16
30650,19,7,20,41,45,10,27
30651,48,15,8,16,42,20,1
30652,51,35,40,24,11,31,49
30653,7,52,3,47,50,6,21
30654,18,35,52,6,44,47,23
30655,22,44,14,34,37,27,26
30656,44,41,25,11,20,22,45
30657,33,19,3,19,37,45,17
30658,33,49,23,46,50,19,31
30659,12,40,9,41,52,7,14
30660,14,52,5,36,18,7,28
30661,35,40,37,10,10,45,48
30662,30,28,45,48,30,28,51
30663,1,5,20,16,5,45,6
30664,41,42,20,11,48,3,27
30665,34,30,5,32,41,46,32
30666,52,33,36,16,40,23,30
30667,17,22,33,26,14,5,32
30668,50,35,29,51,20,37,45
30669,50,8,13,12,38,22,18
30670,50,11,24,14,19,31,35
30671,33,6,48,43,6,9,43
30672,48,52,43,19,29,52,28
30673,38,8,37,20,10,16,12
30674,51,52,48,52,47,19,7
30675,33,47,52,23,9,30,32
30676,39,31,21,33,8,51,11
30677,43,51,15,20,21,49,17
30678,36,29,4,22,10,10,45
30679,19,41,4,24,41,49,45
30680,21,37,2,38,2,23,10
30681,13,20,46,41,2,25,30
30682,8,43,13,10,28,8,23
30683,33,48,8,50,44,35,41
30684,33,46,32,26,19,8,32
30685,44,4,45,43,6,40,11
30686,42,8,11,51,10,48,41
30687,22,25,50,8,35,15,35
30688,49,1,35,48,3,35,39
30689,31,12,42,36,38,43,37
30690,33,12,48,14,42,50,51
30691,51,24,18,38,16,14,8
30692,45,41,12,14,44,24,15
30693,21,8,8,13,41,51,34
30694,18,35,15,38,4,10,3
30695,35,12,38,17,41,20,10
30696,29,20,46,38,47,9,31
30697,27,1,40,19,34,3,14
30698,23,15,12,45,37,11,18
30699,1,18,19,7,40,52,32
30700,51,41,46,9,44,13,15
30701,52,38,33,3,23,37,41
30702,8,3,26,49,27,15,38
30703,32,4,49,10,29,13,21
30704,2,40,39,30,33,11,22
30705,33,47,1,24,10,50,21
30706,46,12,14,25,37,48,23
30707,28,36,37,13,4,47,7
30708,32,45,39,20,4,47,39
30709,31,49,6,15,12,45,7
30710,41,12,50,26,41,52,46
30711,25,24,52,33,45,20,38
30712,19,52,33,51,12,16,11
30713,36,12,15,31,42,10,39
30714,21,6,8,11,31,24,33
30715,45,11,28,25,41,43,29
30716,34,5,24,51,38,28,38
30717,49,18,24,8,33,8,44
30718,13,48,15,39,45,2,14
30719,40,26,28,1,40,8,30
30720,42,11,45,46,38,19,9
30721,6,36,47,12,52,19,29
30722,50,10,46,11,6,44,48
30723,15,14,48,49,44,15,21
30724,4,27,12,52,32,42,23
30725,37,14,9,46,4,23,42
30726,32,43,21,26,51,11,22
30727,46,49,5,41,9,48,38
30728,20,32,30,22,47,37,2
30729,32,40,52,35,19,47,50
30730,33,45,49,12,19,42,5
30731,3,1,51,32,52,9,47
30732,14,40,36,33,50,44,10
30733,9,32,20,47,22,43,13
30734,9,18,15,43,16,9,44
30735,15,48,50,36,2,19,50
30736,52,14,44,32,29,17,1
30737,36,44,2,10,8,27,39
30738,28,41,52,42,11,35,7
30739,35,19,33,37,10,48,24
30740,32,15,36,49,25,22,45
30741,13,32,22,36,38,23,7
30742,25,51,40,31,35,12,28
30743,32,9,36,52,48,19,2
30744,33,48,42,9,4,4,38
30745,5,46,6,21,49,46,44
30746,20,39,51,28,51,52,36
30747,36,36,4,45,5,52,32
30748,24,35,21,5,28,25,51
30749,33,28,7,2,37,5,47
30750,33,4,47,14,51,23,15
30751,21,36,50,15,24,48,9
30752,25,20,27,25,45,2,40
30753,47,7,48,33,40,46,4
30754,27,15,29,43,51,11,27
30755,3,24,18,20,11,18,39
30756,16,30,2,17,7,45,8
30757,42,28,40,2,23,8,52
30758,30,20,2,27,39,34,2
30759,7,32,10,12,31,6,7
30760,12,25,4,27,45,3,6
30761,5,5,47,4,52,24,38
30762,29,43,21,33,32,41,29
30763,18,33,34,19,8,14,13
30764,46,12,29,38,15,23,22
30765,1,42,6,44,27,45,42
30766,12,22,6,43,51,14,37
30767,30,3,29,25,11,51,40
30768,45,27,43,49,39,33,44
30769,35,41,34,14,6,28,22
30770,5,45,44,52,3,32,12
30771,11,52,3,10,36,2,46
30772,42,23,52,34,29,22,9
30773,39,3,5,48,6,37,18
30774,22,5,37,24,18,37,39
30775,18,19,10,51,32,33,51
30776,9,28,12,32,17,8,17
30777,10,33,16,10,43,4,35
30778,6,40,32,33,33,3,4
30779,34,46,17,35,34,34,6
30780,11,19,9,16,12,51,20
30781,18,28,15,19,14,48,12
30782,48,41,15,20,25,42,9
30783,31,24,4,23,47,41,27
30784,43,27,8,35,24,35,52
30785,2,32,31,7,35,8,49
30786,23,38,10,19,17,33,38
30787,51,24,50,12,43,43,43
30788,21,37,50,26,3,52,4
30789,38,51,12,1,31,8,47
30790,42,11,4,4,7,45,7
30791,18,8,13,45,36,31,35
30792,40,5,34,40,5,35,23
30793,40,7,15,25,52,2,23
30794,25,40,41,47,46,12,7
30795,15,35,45,13,17,48,33
30796,24,3,3,34,21,8,29
30797,29,2,24,31,14,25,23
30798,51,2,2,49,41,25,8
30799,21,14,36,12,44,48,20
30800,42,27,36,44,7,45,13
30801,16,24,46,35,1,41,23
30802,6,24,46,41,31,51,17
30803,36,20,50,21,19,38,42
30804,7,46,48,37,38,22,11
30805,17,28,14,42,13,28,4
30806,33,34,20,14,36,52,26
30807,20,38,19,5,12,14,21
30808,27,24,6,26,31,32,49
30809,2,20,38,14,15,45,49
30810,47,34,25,14,40,11,30
30811,20,19,48,12,11,25,52
30812,17,8,1,38,7,35,12
30813,18,31,26,15,43,29,41
30814,47,37,13,52,30,25,47
30815,44,47,48,21,13,12,16
30816,32,10,11,45,33,3,26
30817,35,4,23,34,19,15,18
30818,38,52,28,21,48,40,44
30819,12,15,20,41,8,22,42
30820,20,20,46,47,51,16,38
30821,36,29,25,11,26,44,1
30822,39,42,50,40,8,41,46
30823,51,29,31,44,33,4,51
30824,4,17,26,21,22,37,30
30825,13,34,38,52,36,51,3
30826,50,48,37,24,44,11,8
30827,15,7,29,6,7,35,20
30828,39,21,29,1,15,18,20
30829,1,7,15,44,13,50,11
30830,13,35,21,35,51,42,14
30831,49,25,43,28,5,30,23
30832,40,20,45,4,25,39,30
30833,3,52,22,25,43,10,23
30834,14,25,51,36,33,30,11
30835,36,36,11,40,50,13,29
30836,37,5,35,4,26,46,29
30837,26,4,26,26,42,49,43
30838,17,17,28,9,10,7,2
30839,38,29,51,24,49,22,52
30840,37,23,38,24,21,7,3
30841,31,2,39,19,1,30,29
30842,28,6,37,22,43,19,22
30843,39,10,3,36,9,31,31
30844,15,14,10,32,34,49,10
30845,19,39,28,16,43,28,22
30846,12,31,17,43,4,42,39
30847,27,29,17,32,4,36,41
30848,8,41,28,27,20,43,18
30849,26,15,1,31,23,47,4
30850,2,34,3,16,26,7,23
30851,25,27,21,41,6,13,11
30852,49,43,20,44,2,19,48
30853,21,2,6,10,7,2,7
30854,15,50,46,26,38,33,9
30855,15,47,30,34,44,28,14
30856,47,27,46,45,13,48,37
30857,14,44,27,24,39,15,38
30858,49,29,6,50,4,17,31
30859,7,5,1,32,47,51,8
30860,41,6,48,22,42,15,5
30861,40,22,34,14,31,26,23
30862,23,19,45,4,7,37,23
30863,31,3,4,40,1,6,30
30864,52,26,11,19,24,16,36
30865,7,16,1,11,31,28,46
30866,14,42,46,25,49,40,27
30867,7,23,10,12,30,39,29
30868,6,33,13,52,51,7,28
30869,6,28,27,6,15,15,20
30870,33,17,44,25,27,24,24
30871,4,30,44,16,7,50,26
30872,24,46,3,38,35,4,8
30873,4,49,16,4,13,36,30
30874,2,26,48,3,29,21,22
30875,36,16,38,45,37,12,41
30876,14,38,42,43,9,22,30
30877,11,11,8,20,17,8,10
30878,25,37,32,31,49,27,36
30879,11,51,4,19,52,5,5
30880,4,39,15,37,50,21,9
30881,5,16,3,22,6,10,20
30882,33,10,2,5,38,30,34
30883,52,45,39,29,44,23,6
30884,12,14,52,35,4,37,38
30885,13,36,7,2,4,44,47
30886,44,8,26,40,18,14,40
30887,12,25,42,33,36,32,46
30888,16,7,47,37,24,33,17
30889,1,32,38,7,33,23,51
30890,31,46,25,30,23,21,25
30891,8,31,43,13,50,6,46
30892,21,8,24,26,32,18,18
30893,44,38,17,5,7,18,49
30894,22,36,26,42,25,37,42
30895,2,35,38,32,30,50,11
30896,37,30,18,51,8,22,34
30897,30,8,9,38,52,41,42
30898,34,5,51,40,20,42,47
30899,5,12,43,8,29,40,31
30900,38,42,16,3,41,15,22
30901,10,10,11,29,13,34,5
30902,11,28,41,10,1,14,28
30903,35,28,35,29,36,44,29
30904,36,52,28,50,37,11,14
30905,18,30,14,21,9,21,31
30906,45,47,13,36,2,25,5
30907,2,5,10,49,44,36,50
30908,11,40,22,37,18,7,47
30909,47,50,25,52,22,39,39
30910,44,3,24,23,21,45,17
30911,48,29,36,15,16,38,39
30912,17,17,19,19,3,21,29
30913,37,18,32,33,45,37,19
30914,3,26,8,47,9,9,39
30915,3,25,12,12,36,8,49
30916,18,47,49,38,19,3,21
30917,41,28,1,1,52,51,14
30918,42,27,43,35,47,12,8
30919,19,40,16,26,1,21,28
30920,29,23,3,4,30,44,9
30921,22,52,46,43,43,20,43
30922,24,46,33,46,15,26,15
30923,48,22,21,10,11,44,21
30924,50,9,18,30,1,48,15
30925,50,33,9,36,14,9,41
30926,31,4,11,5,47,31,20
30927,10,41,52,23,3,22,11
30928,44,14,26,16,12,40,16
30929,45,17,25,12,42,10,18
30930,17,10,52,44,18,33,15
30931,14,13,17,7,3,42,17
30932,22,49,13,26,20,8,43
30933,42,30,15,3,4,49,35
30934,27,42,18,44,28,52,40
30935,49,18,24,46,5,49,48
30936,43,8,5,13,31,26,5
30937,41,28,2,32,8,35,39
30938,18,4,41,24,2,28,43
30939,48,20,46,23,11,29,19
30940,52,5,5,36,28,44,37
30941,23,29,41,10,23,40,8
30942,51,8,19,10,13,14,31
30943,34,2,18,1,36,43,41
30944,12,22,49,19,28,37,29
30945,50,16,31,51,5,9,5
30946,42,20,8,36,52,26,3
30947,39,51,52,11,6,2,36
30948,52,42,13,32,17,28,42
30949,10,41,11,17,32,37,19
30950,24,27,5,47,38,31,51
30951,25,2,45,37,38,36,30
30952,9,15,16,43,38,30,42
30953,14,38,48,50,45,44,11
30954,45,17,10,1,12,9,13
30955,48,1,44,14,35,37,15
30956,10,27,33,33,24,31,15
30957,29,13,16,13,34,34,21
30958,18,17,16,1,37,52,12
30959,36,30,34,1,5,44,39
30960,52,29,49,52,41,39,38
30961,14,46,22,13,21,22,26
30962,29,22,49,44,39,24,42
30963,27,20,8,21,25,36,27
30964,49,41,13,40,44,21,23
30965,9,23,2,29,37,45,48
30966,1,14,50,28,5,5,10
30967,1,13,18,5,4,33,39
30968,38,16,15,7,8,45,44
30969,31,34,43,44,3,31,36
30970,18,13,19,15,5,31,23
30971,36,11,8,9,38,48,34
30972,37,44,35,47,50,2,12
30973,49,23,33,17,30,13,1
30974,39,28,47,2,12,43,11
30975,51,51,26,43,36,29,50
30976,40,11,35,32,23,4,8
30977,15,46,52,29,11,19,52
30978,13,23,18,23,26,27,2
30979,33,41,6,23,15,8,27
30980,22,20,46,30,40,36,12
30981,12,52,20,36,20,44,21
30982,20,30,52,19,51,18,3
30983,23,6,7,44,14,49,32
30984,50,14,4,44,52,33,43
30985,7,25,13,32,37,7,8
30986,41,10,23,44,15,36,7
30987,13,8,23,48,37,26,11
30988,36,50,32,32,22,29,4
30989,21,43,3,46,35,15,48
30990,51,24,34,6,43,13,46
30991,23,35,16,45,25,32,11
30992,9,4,12,50,37,10,21
30993,18,41,36,5,44,42,13
30994,30,48,52,20,14,22,26
30995,7,23,6,29,2,50,22
30996,45,35,23,8,20,25,7
30997,13,41,38,25,29,44,11
30998,34,23,38,23,17,43,47
30999,52,5,18,43,28,7,48
31000,19,51,39,35,51,34,42
31001,48,20,27,31,2,51,27
31002,45,1,17,23,6,47,18
31003,48,16,9,49,52,35,7
31004,32,44,10,3,47,45,17
31005,31,30,27,30,1,22,42
31006,41,45,4,47,29,18,39
31007,7,45,35,23,21,39,44
31008,21,17,35,12,48,32,32
31009,39,29,15,10,28,41,26
31010,33,25,11,19,2,31,27
31011,24,21,34,46,14,44,10
31012,31,28,18,5,42,52,43
31013,41,7,51,31,8,37,13
31014,42,22,20,42,5,26,26
31015,7,34,19,52,42,40,35
31016,51,31,31,9,15,10,34
31017,10,2,15,48,29,11,8
31018,10,14,23,15,51,28,45
31019,14,25,44,27,18,38,2
31020,41,30,45,16,10,10,47
31021,46,24,30,29,14,4,49
31022,42,26,19,36,49,9,23
31023,34,49,36,4,38,6,47
31024,42,46,4,25,31,50,5
31025,7,2,32,20,28,21,36
31026,49,44,37,36,35,37,10
31027,46,4,18,19,26,9,33
31028,5,41,13,42,18,14,37
31029,42,24,18,49,35,18,30
31030,37,28,25,19,3,16,41
31031,7,26,23,18,28,43,51
31032,4,5,24,50,50,2,20
31033,29,30,21,18,21,46,50
31034,39,4,5,35,21,7,3
31035,36,49,2,40,50,21,44
31036,36,21,36,19,52,2,34
31037,49,12,8,4,3,30,11
31038,13,19,38,27,19,37,41
31039,28,12,49,42,42,16,44
31040,11,32,39,6,34,39,52
31041,5,13,36,32,37,28,39
31042,46,20,15,25,42,14,30
31043,10,37,23,11,29,36,52
31044,35,28,18,26,23,28,32
31045,28,9,22,52,37,10,4
31046,38,4,9,52,17,30,46
31047,30,10,32,5,1,52,42
31048,4,28,18,39,6,17,31
31049,36,42,51,21,14,3,48
31050,40,34,35,3,47,46,40
31051,46,47,17,8,21,34,7
31052,21,27,52,34,42,1,7
31053,25,3,22,7,38,42,27
31054,29,41,21,25,9,1,37
31055,51,6,46,31,14,9,20
31056,52,9,49,52,2,40,49
31057,19,11,43,46,43,36,35
31058,7,45,19,1,17,12,43
31059,25,52,40,35,21,46,31
31060,29,1,52,21,45,40,34
31061,5,9,17,43,26,50,7
31062,48,20,10,9,12,22,33
31063,19,5,14,26,23,49,1
31064,42,31,8,27,37,36,6
31065,39,19,47,31,8,10,37
31066,24,49,37,40,51,1,41
31067,34,10,37,10,36,29,20
31068,43,10,50,10,50,4,1
31069,17,35,11,1,21,47,3
31070,30,51,45,9,26,46,36
31071,7,18,22,39,1,45,45
31072,2,46,28,14,27,40,26
31073,23,40,47,37,35,31,6
31074,48,35,20,18,47,9,32
31075,9,3,45,34,3,33,9
31076,32,45,48,13,49,13,17
31077,18,10,39,12,44,13,12
31078,48,39,11,35,49,12,33
31079,30,20,14,20,36,17,3
31080,42,19,45,52,23,34,10
31081,46,9,30,29,52,19,29
31082,16,40,51,19,45,21,16
31083,14,32,52,3,41,52,10
31084,17,13,29,30,40,22,21
31085,5,35,8,22,52,14,29
31086,11,16,21,44,6,13,28
31087,35,48,37,20,20,14,28
31088,4,29,17,26,48,26,48
31089,5,32,47,52,6,35,7
31090,22,51,46,1,43,37,44
31091,26,31,24,1,28,52,35
31092,17,23,9,52,45,16,41
31093,18,50,50,28,13,31,45
31094,25,33,51,34,25,43,12
31095,39,20,7,21,48,25,19
31096,52,19,24,50,24,13,15
31097,15,18,40,27,30,28,48
31098,35,39,43,36,19,32,34
31099,35,43,18,4,12,45,52
31100,4,49,36,6,14,26,34
31101,42,29,43,45,52,12,44
31102,19,43,49,49,15,21,49
31103,40,9,3,32,37,26,2
31104,23,41,14,25,16,5,10
31105,41,6,7,6,21,33,8
31106,7,30,10,22,8,36,15
31107,16,51,33,1,45,6,51
31108,2,3,6,46,28,28,5
31109,50,11,29,52,40,1,50
31110,21,8,5,21,48,23,18
31111,4,22,49,18,38,52,48
31112,25,26,35,11,1,15,2
31113,34,45,49,34,47,47,6
31114,23,13,35,12,7,41,11
31115,12,27,38,51,22,50,10
31116,41,21,3,40,36,50,34
31117,35,25,29,28,14,40,1
31118,28,51,47,23,1,26,52
31119,42,38,27,33,27,17,10
31120,43,15,25,47,18,2,14
31121,8,27,27,29,1,5,22
31122,21,14,25,25,5,20,27
31123,15,8,50,42,26,25,28
31124,39,5,14,15,36,52,16
31125,51,36,36,4,25,37,15
31126,32,48,34,33,5,28,44
31127,52,38,47,50,19,29,8
31128,4,13,37,34,34,24,16
31129,47,48,19,13,17,14,44
31130,34,30,23,25,27,27,22
31131,13,42,13,10,10,13,45
31132,18,4,39,51,20,34,41
31133,33,43,15,40,39,31,52
31134,14,4,21,6,51,22,34
31135,17,26,10,6,35,24,48
31136,50,31,10,7,43,7,31
31137,1,10,32,41,50,19,6
31138,36,30,24,16,12,36,28
31139,15,8,39,40,16,41,42
31140,9,14,4,23,42,39,43
31141,42,30,44,16,7,35,24
31142,16,4,33,50,7,47,33
31143,26,32,51,31,43,11,42
31144,13,17,2,33,29,48,18
31145,21,50,24,35,43,49,10
31146,30,45,23,15,31,40,5
31147,28,17,43,34,19,47,7
31148,1,11,21,1,19,28,10
31149,46,42,2,4,5,34,49
31150,27,12,43,31,6,31,44
31151,50,29,9,35,3,52,24
31152,41,20,2,15,32,48,12
31153,24,47,43,44,29,45,17
31154,7,17,51,6,16,31,24
31155,47,25,1,22,11,39,50
31156,29,32,28,44,19,50,9
31157,8,12,33,23,18,24,16
31158,19,50,50,30,44,3,16
31159,51,17,20,36,6,50,17
31160,43,39,46,27,26,12,20
31161,15,27,5,23,34,44,27
31162,7,42,31,30,15,5,14
31163,18,26,49,24,5,52,36
31164,25,8,10,27,7,24,38
31165,27,8,8,38,50,17,20
31166,30,10,16,1,26,24,19
31167,42,36,8,1,45,10,23
31168,26,8,4,5,3,25,10
31169,17,20,19,52,47,2,2
31170,33,40,17,13,9,8,9
31171,20,5,23,13,11,46,33
31172,44,31,26,52,39,30,17
31173,9,5,2,7,32,45,16
31174,18,25,10,27,19,7,44
31175,3,11,51,5,45,48,6
31176,14,48,33,22,35,20,52
31177,18,49,41,17,47,47,16
31178,40,7,20,43,48,37,11
31179,17,31,23,18,27,39,18
31180,17,20,44,29,9,31,23
31181,27,7,11,13,51,23,42
31182,21,14,32,31,30,52,52
31183,30,24,1,44,30,2,2
31184,14,39,33,15,11,19,42
31185,50,52,23,22,51,31,44
31186,29,15,15,36,3,4,30
31187,5,51,11,49,45,27,15
31188,37,36,1,28,45,38,37
31189,8,16,5,6,13,52,16
31190,33,22,25,37,29,37,44
31191,52,22,13,13,49,10,12
31192,24,36,13,6,11,48,48
31193,7,24,15,37,22,28,4
31194,4,41,23,12,13,17,1
31195,51,23,3,29,31,11,5
31196,3,42,45,4,15,45,51
31197,13,10,35,39,17,36,46
31198,21,48,25,1,15,45,19
31199,13,6,39,22,47,37,37
31200,26,41,1,8,5,38,23
31201,17,16,12,52,10,11,25
31202,43,46,9,9,10,15,47
31203,39,40,40,9,10,35,3
31204,44,44,4,47,35,17,3
31205,7,19,28,34,52,51,44
31206,26,40,12,42,26,31,25
31207,42,30,10,48,50,45,43
31208,19,36,3,18,2,8,29
31209,45,2,13,29,35,22,4
31210,34,32,39,28,2,45,46
31211,52,13,51,31,9,11,23
31212,45,48,36,22,42,39,13
31213,35,18,36,4,21,31,44
31214,49,45,22,30,52,11,50
31215,44,2,4,7,44,22,51
31216,26,2,43,37,2,30,47
31217,29,40,21,24,31,45,23
31218,27,10,17,9,50,46,22
31219,15,33,38,7,50,39,39
31220,12,42,38,10,46,27,15
31221,44,48,49,43,36,14,27
31222,7,25,37,51,23,34,26
31223,18,19,31,44,19,34,16
31224,25,49,52,40,38,26,24
31225,36,50,11,31,39,25,9
31226,38,6,25,32,20,5,6
31227,24,7,15,2,51,6,11
31228,18,10,43,21,18,47,15
31229,26,14,12,10,9,50,17
31230,33,30,21,41,29,12,29
31231,42,10,34,7,26,15,47
31232,33,36,35,32,2,32,17
31233,43,47,2,47,37,16,36
31234,24,31,15,38,51,42,20
31235,31,6,10,19,32,35,8
31236,18,23,24,43,1,49,18
31237,47,29,39,29,6,12,38
31238,23,33,34,30,43,11,18
31239,7,30,20,28,32,52,26
31240,1,42,52,15,52,24,28
31241,23,39,20,14,20,44,40
31242,9,34,15,38,29,12,37
31243,35,46,26,52,4,5,17
31244,44,50,16,51,22,37,30
31245,42,37,12,36,44,12,18
31246,34,26,26,27,38,8,23
31247,45,1,39,12,47,26,2
31248,15,49,20,36,12,20,30
31249,20,50,21,42,16,36,38
31250,31,17,3,32,25,3,49
31251,37,19,48,47,17,45,28
